Company name;Avatar;Founded;Headquaters;Ownership;Employees;Company URL;Type;Describtion
11 bit studios;http://www.blogcdn.com/www.joystiq.com/media/2010/10/11bitstudios.jpg;;Warsaw, Poland;Independent;25;http://www.11bitstudios.com;Developer;11 bit studios – a game development company based in Warsaw, Poland, Europe, Planet Earth. Before founding the company, core crew members had been working in the industry since the early 90s. Over the last 15 years, we’ve brought on the market more than 20 games, including such titles as : Starmageddon (Project Earth, US version), Infernal, Gorky 17 (US title: Odium), Knight Rider 2 and many others. 
10tacle Studios ;http://www.virtualr.net/drop/images/63214810T_Logo_RGB_kurz.jpg;08/01/2003;Darmstadt, Germany;Closed August 2008;1;http://www.10tacle.com/;Publisher;"10tacle studios AG was a German game publisher founded by CEO Michele Pes in August 2003 in Darmstadt, Germany.Since its founding 10tacle studios AG acquired many companies in different countries. The first one was the German studio reakktor.com in 2004 and in October 2005 they acquired development studio elseWhere Entertainment and renamed it 10tacle Studios Belgium. In December of 2005 they opened a development studio in Singapore, and Blimey! Games was acquired two months later in February 2006. The hand-held division 10tacle Studios Mobile GmbH was established later that year in May.

In June 2007 they acquired development studio Stormregion and in August 2007 a stake in The Climax Group. In December 2007 10tacle announced to acquire Berlin-based TGC – The Games Company, but due to financial problems that never happened. Because of their finances 10tacle claimed insolvency in August 2008 (this also lead to the end of the subsidiary 10tacle Studios Slovakia)."
10tons Ltd;http://media.giantbomb.com/uploads/0/628/450257-10ton_logo_large.png;01/01/2003;Tampere, Finland;Independent;50;http://www.10tons.com;Developer;"10tons Ltd. was founded in 2003. The debut release was Crimsonland which became a cult hit. In 2003 the casual games market was emerging and 10tons started a brand called MythPeople to produce casual games.

Several casual game titles were developed after starting the MythPeople brand. These include Ice Breaker (2004), Bubblefish Bob (2005), Karu (2006), and Abundante! (2006).

At the beginning of 2007 the company founded offices at the heart of Tampere. Three new games were created during the year 2007: Sparkle, Profitville, and Azkend. Also, Mac OS X support started with Azkend.

In 2008 more people were hired and Miriel the Magical Merchant was released. 10tons also moved into a larger office to accommodate the growing team. Towards the end of year 2008 10tons entered the mobile market with two iPhone games: Shapium and Xenotracker. In year 2009 Azkend was ported to iPhone. Also, Dragon Portals and a small shooter called Belowscape were released.

In 2010 10tons created Heroes of Kalevala which was followed by Grim Joggers at the beginning of 2011. 10tons' platform portfolio also expanded with Symbian^3, bada, and webOS. In 2011 10tons released its first game for Android."
14 Degrees East ;http://upload.wikimedia.org/wikipedia/en/b/b0/Interplay_logo.JPG;03/03/1999;Beverly Hills, California;Subsidiary of Interplay;1;http://www.interplay.com/;Developer;14 Degrees East located in Beverly Hills, California, 14 Degrees was the strategy division of Interplay. The Company was founded March 3, 1999
1C Company;http://upload.wikimedia.org/wikipedia/en/e/ee/1C_CompanyLogo.png;01/01/1991;Moscow, Russia;Private company;850;http://www.1c.ru/eng/;Publisher & Developer;"1C Company is one of the largest independent Russian software developers and publishers. Its headquarters are in Moscow, Russia. It is best known outside of the former Soviet Union as a video game developer whose presence has come to dominate events like the KRI, and whose products have begun to show up for international platforms like the Xbox. In the internal Russian market 1C is considered a leader in business software as well, however of the 13 tons of software they have been reported as shipping daily, 98% of it is game software.

1C's comprehensive business software suite 1C:Предприятие (1C:Predpriyatiye, 1C:Enterprise) has held an overwhelming market share for over a decade. 1C is also a leader in localizing and publishing Russian-language versions of international software. For instance, more than half of popular Western video games are licensed and published by 1C. The company has over 700 employees, 10,000 business partners, 4,500 authorized retailers, 1,200 training centers, 200 authorized certification locations and over 280 stores in 100 cities."
1C: Ino-Co;http://media.giantbomb.com/uploads/0/628/451508-1c_ino_co_logo_large.jpeg;01/01/2007;Moscow, Russia;Subsidiary of 1C Company;100;http://www.ino-co.com/en.html;Developer;"Several companies work under Ino-Co trademark, each uniting professional developers with great experience.

1C:Ino-Co develops games for PC and consoles, and provides outsource services.

Ino-Co Plus is a developer games for PC, and also publisher and developer of online games for leading social networks."
1C: Maddox Games ;http://media.giantbomb.com/uploads/0/628/451719-1c_maddox_logo_large.png;01/01/1992;Moscow, Russia;Subsidiary of 1C Company;100;http://www.1c.ru/eng/;Developer;Russian game development studio Maddox Games was founded in 1992 by Oleg Maddox. They have developed dozens of games and multimedia products for MS-DOS, Windows and Pen Pad. In addition to flight sims, 3D shooters and puzzle games they have developed music players, special electronic maps and scientific software tools. Maddox Games is a multi-award winning software company in Russia, earning several national prizes in different contests. In 1999 Maddox Games became a subsidiary of the 1C company, the largest Software House in Russia, giving the team a new name - 1C:Maddox Games.
2015, Inc. ;http://www.mobygames.com/images/i/11/30/447430.jpeg;01/01/1997;Tulsa Oklahoma;Private company;100;http://www.2015.com/;Developer;"2015, Inc. (pronounced twenty-fifteen) is an independent company located in Tulsa, Oklahoma, specializing in first-person, 3D action games for the PC, consoles and handhelds. The company was founded in 1997 by Tom Kudirka. Some of the first titles by 2015 were created by the separate development division Trainwreck Studios (first announced in April 2000), specializing in mid-price to budget games. Under that name Laser Arena (2000) and CIA Operative: Solo Missions (2001) were created. In 2007 it resurfaced with Time Ace for the Nintendo DS.

2015, Inc's first own title was SiN: Wages of Sin (1999), an expansion to Ritual Entertainment's popular shooter SiN (1998). The studio is especially known for pushing Electronic Arts' Medal of Honor series forward with the release of World War II shooter Medal of Honor: Allied Assault in 2002, the first game in the series to appear on the Windows platform.

Following the release, EA decided to move development on expansions for the title to its internal Electronic Arts Los Angeles team. A large part of the upper echelons of the company left to form Infinity Ward, a studio that would become known for the rival Call of Duty series based around the same concept. The studio, no longer involved with either of the two franchises, started work on an entirely new game: a shooter set during the Vietnam era. That game became Men of Valor and it was released in 2004

In September 2008 the company announced to have opened the development branch Tornado Studios, focused on casual games. At the same time, 2015, Inc. confirmed that it was still focused on developing action games"
2D Boy ;http://www.mobygames.com/images/i/11/40/733590.jpeg;01/01/2006;San Franscisco, USA;Independent;20;http://2dboy.com/;Developer;"2D Boy is an independent game studio located in San Francisco (USA) and established in 2006. The core team originally consisted of Ron Carmel and Kyle Gabler, both former employees of Electronic Arts. They were later joined by Allan Blomquist, also coming from EA.

The company's first game, World of Goo, was released in October 2008. At the Independent Game Festival in 2008, it had won in the categories Design Innovation and Technical Excellence."
2K Boston;http://upload.wikimedia.org/wikipedia/en/e/e9/IrrationalGames_new_logo.jpg;01/01/1997;Quincy, Massachusetts, United States;Subsidiary of 2K Games;150;http://www.irrationalgames.com/;Developer;"Irrational Games (known briefly as 2K Boston, Inc./2K Australia Pty. Ltd.) is a video game developer founded in 1997 by three former employees of Looking Glass Studios: Ken Levine, Jonathan Chey, and Robert Fermier as Irrational Games. On January 9, 2006, Take-Two Interactive announced that they had purchased Irrational, and would publish their games under the 2K Games label.

At its largest point Irrational had two studios, one in Quincy, Massachusetts, USA just outside Boston, Massachusetts and the other in Canberra, Australia.

A third studio, 2K Marin, was split off from 2K Boston in 2007, with five former Irrational Games employees leaving to join the new company. 2K Marin worked with 2K Australia on BioShock 2.

The Canberra studio (2K Australia) separated from the Boston studio at some point after 2007, and merged with 2K Marin in 2010.

In late July 2010, several media outlets reported that a recently created website, whatisicarus.com, was a promotion relating to Irrational Games' unannounced project. The following week, information about the game was again teased, with the trailer confirmed for release on August 12, 2010.  It turned out to be BioShock Infinite."
