//COMMON
"log in";"log in"
"log out";"log out"
"Search";"Search"
"Search here...";"Search here..."
"Are you sure want to delete friend?";"Are you sure want to delete friend?"
"Are you sure want to delete post?";"Are you sure want to delete post?"
"Are you sure want to delete board?";"Are you sure want to delete board?"
"Are you sure want to delete reply?";"Are you sure want to delete reply?"
"Are you sure want to delete download?","Are you sure want to delete download?"
"Are you sure want to delete member from group?","Are you sure want to delete member from group?"
"Are you sure want to delete tab?","Are you sure want to delete tab?"
"Are you sure want to delete media?","Are you sure want to delete media?"
"Are you sure want to delete affiliate?","Are you sure want to delete affiliate?"
"Are you sure want to delete group?","Are you sure want to delete group?"
"Are you sure want to leave group?","Are you sure want to leave group?"
"Are you sure want to delete message?";"Are you sure want to delete message?"
"Are you sure want to delete all messages?";"Are you sure want to delete all messages?"
"Are you sure want to delete news item?";"Are you sure want to delete news item?"
"Image Dimmensions: 200x300px","Image Dimmensions: 200x300px"
"Yes";"Yes"
"No";"No"
"New";"New"
"Save";"Save"
"Add";"Add"
"change picture","change picture"
"add picture","add picture"
"Read more","Read more"
"Hide description","Hide description"
"Description","Description"
"Download","Download"
"Edit","Edit"
"Delete","Delete"
"Remove","Remove"

//LEFT MENU
"My";"My"
"Wall";"Wall"
"Messages";"Messages"
"Notifications";"Notifications"
"Groups";"Groups"
"Games";"Games"
"Subscriptions";"Subscriptions"
"Friends";"Friends"

//NEWS SECTION
"View All Comments";"View All Comments"
"No Comments";"No Comments"
"Posts";"Posts"
"Latest News";"Latest News"
"News";"News"
"Show comments";"Show comments"
"Hide comments";"Hide comments"
"Comment by";"Comment by"
"Show all games";"Show all games"
"Show all companies";"Show all companies"
"Show all local news";"Show all local news"
"Show All Country News";"Show All Country News"
"Platforms";"Platforms"
"Games";"Games"
"Companies";"Companies"
"Local";"Local"
"previous";"previous"
"next";"next"
"Games for platform";"Games for platform"
"Search news...";"Search news..."
"Search results";"Search results"
"Searched for";"Searched for"
"Total Matches";"Total Matches"

//REGISTRATION
"Registration";"Registration"
"To get access you need to register";"To get access you need to register"

//PERSONAL PROFILE
"My Info";"My Info"
"Edit";"Edit"
"Cancel";"Cancel"
"Finish";"Finish"
"Name";"Name"
"Nickname";"Nickname"
"Password";"Password"
"Age";"Age"
"Date Of Birth";"Date Of Birth"
"Country";"Country"
"change picture";"change picture"
"upload picture";"upload picture"
"Your new password";"Your new password"
"hidden";"hidden"
"Profile Page";"Profile Page"
"Login Required!";"Login Required!"
"Registration successful";"Registration successful"
"Friends";"Friends"

//FRIEND PROFILE
"send message";"send message"
"add friend";"add friend"
"Subscribe";"Subscribe"
"Unsubscribe";"Unsubscribe"
"Friend";"Friend"
"User Info";"User Info"
"Age";"Age"
"Country";"Country"
"Rating";"Rating"
"Add Friend";"Add Friend"
"Write Message";"Write Message"
"Reject";"Reject"
"Accept";"Accept"
"Delete Friend";"Delete Friend"
"Info";"Info"

//WALL
"Home";"Home"
"Photo";"Photo"
"Link";"Link"
"Video";"Video"
"Share your ideas >";"Share your ideas >"
"Post";"Post"
"Share your photo >";"Share your photo >"
"Share your link >";"Share your link >"
"Share your video >";"Share your video >"
"Search >";"Search >"
"Show more posts";"Show more posts"

//Messages
"Messages";"Messages"
"Select All";"Select All"
"Deselect All";"Deselect All"
"Delete Selected";"Delete Selected"
"Delete All";"Delete All"
"Inbox";"Inbox"
"Sent";"Sent"
"Message From";"Message From"
"Reply";"Reply"
"Forward";"Forward"
"Delete Message";"Delete Message"
"New Message";"New Message"
"Message >";"Message >"
"Send";"Send"
"To";"To"

//pass recovery
"Password Recovery";"Password Recovery"
"Enter your e-mail address for<br/>password recovery";"Enter your e-mail address for<br/>password recovery"
"E-mail";"E-mail"
"Recover";"Recover"

//ajax login
"Logging in...";"Logging in..."
"Forgot Password?";"Forgot Password?"
"Log In";"Log In"

//errors
"Error: E-mail not found";"Error: E-mail not found"
"Incorrect e-mail or password";"Incorrect e-mail or password"

//
"Are you sure want to delete message?";"Are you sure want to delete message?"
"Are you sure want to delete all messages?";"Are you sure want to delete all messages?"
"Sent Messages";"Sent Messages"
"Message To";"Message To"
"Show more posts";"Show more posts"
"Show more friends";"Show more friends"
"Show more subscribtions";"Show more subscribtions"
"Show more notifications";"Show more notifications"
"Show more messages";"Show more messages"

//notifications
"Notification_ReplyMyWall";"New reply to your wall post"
"Notification_PostOnMyWall";"New post on your wall"
"Notification_ReplyPostMyWall";"New reply on your wall"
"Notification_ReplyPostOtherWall";"New reply on your post"
"Notification_ReplyMyReply";"Someone replied to your post"
"Notification_PuplicBySubcribe";"New post on subscribed wall"
"Notification_Like";"Someone liked your post"
"Notification_Dislike";"Someone disliked your post"
"Notification_SubscribePlayer";"You have a new subscriber"
"Notification_FriendRequest";"New friend request"
"Notification_FriendReply";"New friend"
"Notification_NewPM";"New personal message"
"Notification_NewForumPost";"New forum post"
"Notification_NewForumTopic";"New forum topic"
"Notification_CompanyNews";"New Company news"
"Notification_GameNews";"New Game news"
"Notification_GroupNews";"New group news"
"Notification_NewsReply";"New comment on news post"
"Notification_GroupInvite";"Group invitation"
"Notification_GroupApplication";"Group application"

"Player(s) [_1] commented on your wall [_2]post[_3].";"Player(s) [_1] commented on your wall [_2]post[_3]."
"Player(s) [_1] also commented the [_2]post[_3] by [_4].";"Player(s) [_1] also commented the [_2]post[_3] by [_4]."
"Player(s) [_1] liked your [_2]post[_3].";"Player(s) [_1] liked your [_2]post[_3]."
"Player(s) [_1] disliked your [_2]post[_3].";"Player(s) [_1] disliked your [_2]post[_3]."
"Player [_1] is now subscribed to you.";"Player [_1] is now subscribed to you."
"Player [_1] has sent you a friend request.";"Player [_1] has sent you a friend request."
"Player [_1] has accepted your friend request.";"Player [_1] has accepted your friend request."
"Player [_1] has posted a new topic in forum [_2].";"Player [_1] has posted a new topic in forum [_2]."
"News from company [_1].";"News from company [_1]."
"News from game [_1].";"News from game [_1]."
"News from group [_1].";"News from group [_1]."
"Player(s) [_1] commented on a [_2]news item[_3], you subscribe to";"Player(s) [_1] commented on a [_2]news item[_3], you subscribe to"
"Player [_1] has invited you to join the group [_2].","Player [_1] has invited you to join the group [_2]."
"Player [_1] has applied to join the group [_2].","Player [_1] has applied to join the group [_2]."

//forum
"Choose Category";"Choose Category"
"Posts";"Posts"
"Create new category";"Create new category"
"Thread title";"Thread title"
"Statistics";"Statistics"
"Last Post";"Last Post"
"Views";"Views"
"Replies";"Replies"
"Quote";"Quote"
"Reply";"Reply"
"Forum";"Forum"
"Create board";"Create board"
"Create category";"Create category"
"Edit category";"Edit category"
"Delete category";"Delete category"
